Num instance,Num GPU,Model,Placement,Instance size,Batch size,Num proc
0,0,densenet121,4,3,16,2
0,0,inceptionv3,2,2,8,5
0,0,densenet201,0,2,8,1
0,1,densenet121,4,3,16,2
0,1,inceptionv3,2,2,8,5
0,1,inceptionv3,0,2,8,5
0,2,densenet169,4,3,16,2
0,2,resnet152,0,2,8,1
0,2,bert,1,1,16,4
0,2,bert,6,1,16,4
0,3,densenet169,4,3,16,2
0,3,bert,1,1,16,4
0,3,bert,2,1,16,4
0,3,bert,0,1,16,4
0,3,bert,6,1,16,4
0,4,densenet169,4,3,16,2
0,4,resnet101,1,1,8,1
0,4,resnet50,2,1,8,1
0,4,densenet169,0,1,8,1
0,4,inceptionv3,6,1,16,2
0,5,densenet169,4,3,16,2
0,5,vgg19,2,2,16,1
0,5,vgg16,0,1,8,1
0,5,vgg19,6,1,8,1
0,6,densenet201,4,3,8,2
0,6,vgg19,2,2,16,1
0,6,vgg19,0,1,8,1
0,6,vgg19,6,1,8,1
0,7,densenet201,4,3,8,2
0,7,vgg16,2,2,16,1
0,7,vgg19,0,1,8,1
0,7,vgg16,6,1,8,1
1,0,mobilenetv2,4,3,8,3
1,0,vgg16,2,2,16,1
1,0,vgg16,0,1,8,1
1,0,vgg16,6,1,8,1
1,1,mobilenetv2,4,3,8,3
1,1,resnet50,0,2,16,1
1,1,resnet50,1,1,8,1
1,1,resnet50,6,1,8,1
1,2,resnet101,4,3,8,3
1,2,resnet50,0,2,16,1
1,2,resnet50,1,1,8,1
1,2,resnet50,6,1,8,1
1,3,resnet101,4,3,8,3
1,3,resnet152,0,2,8,1
1,3,resnet152,1,1,4,1
1,3,resnet152,6,1,4,1
1,4,resnet152,0,2,8,1
1,4,resnet152,1,1,4,1
1,4,resnet152,2,1,4,1
1,4,resnet152,4,1,4,1
1,4,resnet152,6,1,4,1
