Mig instance,Batch size,Workload Number,Throughput,Latency
1,1,1,74.408,0.013
1,1,2,52.42,0.019
1,1,3,39.917,0.025
1,1,4,31.14,0.032
1,1,5,0,0
1,2,1,85.926,0.023
1,2,2,60.024,0.033
1,2,3,44.542,0.045
1,2,4,34.244,0.058
1,2,5,0,0
1,4,1,95.206,0.042
1,4,2,61.767,0.065
1,4,3,44.646,0.09
1,4,4,34.725,0.115
1,4,5,0,0
1,8,1,101.907,0.079
1,8,2,64.346,0.124
1,8,3,46.446,0.172
1,8,4,36.693,0.218
1,8,5,0,0
1,16,1,117.569,0.136
1,16,2,68.158,0.235
1,16,3,49.565,0.323
1,16,4,38.743,0.413
1,16,5,0,0
1,32,1,103.279,0.31
1,32,2,63.619,0.503
1,32,3,46.485,0.688
1,32,4,35.974,0.89
1,32,5,0,0
1,64,1,117.433,0.545
1,64,2,75.673,0.846
1,64,3,52.249,1.225
1,64,4,39.436,1.623
1,64,5,0,0
1,128,1,135.144,0.947
1,128,2,85.191,1.503
1,128,3,61.192,2.092
1,128,4,0,0
1,128,5,0,0
1,256,1,134.597,1.902
1,256,2,85.57,2.992
1,256,3,59.611,4.294
1,256,4,0,0
1,256,5,0,0
2,1,1,69.288,0.014
2,1,2,65.613,0.015
2,1,3,61.381,0.016
2,1,4,49.725,0.02
2,1,5,42.175,0.024
2,2,1,110.072,0.018
2,2,2,94.63,0.021
2,2,3,73.426,0.027
2,2,4,59.098,0.034
2,2,5,47.863,0.042
2,4,1,141.635,0.028
2,4,2,103.357,0.039
2,4,3,80.562,0.05
2,4,4,63.869,0.063
2,4,5,50.951,0.079
2,8,1,147.54,0.054
2,8,2,102.984,0.078
2,8,3,78.926,0.101
2,8,4,65.291,0.123
2,8,5,52.924,0.151
2,16,1,180.648,0.089
2,16,2,109.394,0.146
2,16,3,86.382,0.185
2,16,4,69.005,0.232
2,16,5,57.491,0.278
2,32,1,159.753,0.2
2,32,2,112.05,0.286
2,32,3,84.449,0.379
2,32,4,69.748,0.459
2,32,5,58.717,0.545
2,64,1,174.763,0.366
2,64,2,118.173,0.542
2,64,3,92.526,0.692
2,64,4,74.85,0.855
2,64,5,61.871,1.034
2,128,1,201.545,0.635
2,128,2,143.733,0.891
2,128,3,112.587,1.137
2,128,4,87.948,1.455
2,128,5,69.791,1.834
2,256,1,204.484,1.252
2,256,2,145.183,1.763
2,256,3,110.406,2.319
2,256,4,87.771,2.917
2,256,5,72.811,3.516
3,1,1,69.945,0.014
3,1,2,68.02,0.015
3,1,3,65.216,0.015
3,1,4,65.411,0.015
3,1,5,64.521,0.015
3,2,1,113.115,0.018
3,2,2,105.798,0.019
3,2,3,97.36,0.021
3,2,4,83.529,0.024
3,2,5,72.298,0.028
3,4,1,157.579,0.025
3,4,2,127.031,0.031
3,4,3,106.934,0.037
3,4,4,86.947,0.046
3,4,5,77.153,0.052
3,8,1,178.161,0.045
3,8,2,135.552,0.059
3,8,3,107.826,0.074
3,8,4,90.905,0.088
3,8,5,74.483,0.107
3,16,1,219.049,0.073
3,16,2,140.216,0.114
3,16,3,111.732,0.143
3,16,4,92.214,0.174
3,16,5,79.069,0.202
3,32,1,192.945,0.166
3,32,2,141.266,0.227
3,32,3,114.426,0.28
3,32,4,94.783,0.338
3,32,5,81.367,0.393
3,64,1,211.617,0.302
3,64,2,155.971,0.41
3,64,3,124.684,0.513
3,64,4,104.247,0.614
3,64,5,89.453,0.715
3,128,1,242.4,0.528
3,128,2,178.869,0.716
3,128,3,147.376,0.869
3,128,4,121.691,1.052
3,128,5,102.507,1.249
3,256,1,243.328,1.052
3,256,2,181.67,1.409
3,256,3,181.67,1.409
3,256,4,120.872,2.118
3,256,5,98.445,2.6
4,1,1,72.215,0.014
4,1,2,69.011,0.014
4,1,3,67.309,0.015
4,1,4,65.509,0.015
4,1,5,63.339,0.016
4,2,1,109.203,0.018
4,2,2,106.026,0.019
4,2,3,110.081,0.018
4,2,4,96.141,0.021
4,2,5,83.09,0.024
4,4,1,177.238,0.023
4,4,2,145.648,0.027
4,4,3,123.345,0.032
4,4,4,107.384,0.037
4,4,5,92.2,0.043
4,8,1,205.061,0.039
