Mig instance,Batch size,Workload Number,Throughput,Latency
1,1,1,48.568,0.021
1,1,2,47.2,0.021
1,1,3,46.204,0.022
1,1,4,39.158,0.026
1,1,5,32.277,0.031
1,2,1,97.911,0.02
1,2,2,74.278,0.027
1,2,3,49.43,0.04
1,2,4,37.058,0.054
1,2,5,28.635,0.07
1,4,1,155.605,0.026
1,4,2,88.943,0.045
1,4,3,57.95,0.069
1,4,4,43.011,0.093
1,4,5,33.629,0.119
1,8,1,186.284,0.043
1,8,2,100.376,0.08
1,8,3,100.376,0.08
1,8,4,0,0
1,8,5,0,0
1,16,1,204.219,0.078
1,16,2,0,0
1,16,3,0,0
1,16,4,0,0
1,16,5,0,0
1,32,1,0,0
1,32,2,0,0
1,32,3,0,0
1,32,4,0,0
1,32,5,0,0
1,64,1,0,0
1,64,2,0,0
1,64,3,0,0
1,64,4,0,0
1,64,5,0,0
1,128,1,0,0
1,128,2,0,0
1,128,3,0,0
1,128,4,0,0
1,128,5,0,0
1,256,1,0,0
1,256,2,0,0
1,256,3,0,0
1,256,4,0,0
1,256,5,0,0
2,1,1,50.081,0.02
2,1,2,48.048,0.021
2,1,3,46.978,0.021
2,1,4,45.584,0.022
2,1,5,44.415,0.023
2,2,1,100.597,0.02
2,2,2,97.348,0.021
2,2,3,92.508,0.022
2,2,4,70.328,0.028
2,2,5,56.811,0.035
2,4,1,199.58,0.02
2,4,2,168.089,0.024
2,4,3,111.787,0.036
2,4,4,85.013,0.047
2,4,5,66.218,0.06
2,8,1,342.224,0.023
2,8,2,195.049,0.041
2,8,3,133.049,0.06
2,8,4,99.695,0.08
2,8,5,78.734,0.102
2,16,1,382.454,0.042
2,16,2,211.938,0.075
2,16,3,0,0
2,16,4,0,0
2,16,5,0,0
2,32,1,369.177,0.087
2,32,2,0,0
2,32,3,0,0
2,32,4,0,0
2,32,5,0,0
2,64,1,0,0
2,64,2,0,0
2,64,3,0,0
2,64,4,0,0
2,64,5,0,0
2,128,1,0,0
2,128,2,0,0
2,128,3,0,0
2,128,4,0,0
2,128,5,0,0
2,256,1,0,0
2,256,2,0,0
2,256,3,0,0
2,256,4,0,0
2,256,5,0,0
3,1,1,50.274,0.02
3,1,2,49.28,0.02
3,1,3,46.749,0.021
3,1,4,44.917,0.022
3,1,5,44.448,0.022
3,2,1,99.438,0.02
3,2,2,98.554,0.02
3,2,3,92.198,0.022
3,2,4,90.029,0.022
3,2,5,83.725,0.024
3,4,1,198.613,0.02
3,4,2,198.251,0.02
3,4,3,173.372,0.023
3,4,4,130.347,0.031
3,4,5,107.974,0.037
3,8,1,396.489,0.02
3,8,2,317.758,0.025
3,8,3,216.729,0.037
3,8,4,159.486,0.05
3,8,5,131.478,0.061
3,16,1,595.886,0.027
3,16,2,339.024,0.047
3,16,3,233.131,0.069
3,16,4,176.589,0.091
3,16,5,139.025,0.115
3,32,1,599.519,0.053
3,32,2,328.536,0.097
3,32,3,0,0
3,32,4,0,0
3,32,5,0,0
