Mig instance,Batch size,Workload Number,Throughput,Latency
1,1,1,89.723,0.011
1,1,2,50.165,0.02
1,1,3,33.245,0.03
1,1,4,25.911,0.039
1,1,5,20.024,0.05
1,2,1,217.913,0.009
1,2,2,148.044,0.014
1,2,3,106.653,0.019
1,2,4,81.728,0.024
1,2,5,63.827,0.031
1,4,1,364.463,0.011
1,4,2,222.185,0.018
1,4,3,148.934,0.027
1,4,4,112.578,0.036
1,4,5,85.875,0.047
1,8,1,451.663,0.018
1,8,2,256.045,0.031
1,8,3,168.794,0.047
1,8,4,125.019,0.064
1,8,5,98.386,0.081
1,16,1,533.782,0.03
1,16,2,287.577,0.056
1,16,3,188.912,0.085
1,16,4,139.797,0.114
1,16,5,0,0
1,32,1,559.988,0.057
1,32,2,287.946,0.111
1,32,3,0,0
1,32,4,0,0
1,32,5,0,0
1,64,1,583.922,0.11
1,64,2,0,0
1,64,3,0,0
1,64,4,0,0
1,64,5,0,0
1,128,1,0,0
1,128,2,0,0
1,128,3,0,0
1,128,4,0,0
1,128,5,0,0
1,256,1,0,0
1,256,2,0,0
1,256,3,0,0
1,256,4,0,0
1,256,5,0,0
2,1,1,107.57,0.009
2,1,2,89.467,0.011
2,1,3,61.485,0.016
2,1,4,47.847,0.021
2,1,5,37.715,0.027
2,2,1,227.861,0.009
2,2,2,187.191,0.011
2,2,3,126.583,0.016
2,2,4,93.481,0.021
2,2,5,75.446,0.027
2,4,1,445.629,0.009
2,4,2,388.085,0.01
2,4,3,275.64,0.015
2,4,4,219.272,0.018
2,4,5,171.826,0.023
2,8,1,818.456,0.01
2,8,2,480.966,0.017
2,8,3,330.685,0.024
2,8,4,248.98,0.032
2,8,5,248.98,0.032
2,16,1,969.149,0.017
2,16,2,555.245,0.029
2,16,3,382.193,0.042
2,16,4,275.618,0.058
2,16,5,222.904,0.072
2,32,1,1068.953,0.03
2,32,2,570.795,0.056
2,32,3,382.708,0.084
2,32,4,282.248,0.113
2,32,5,230.671,0.139
2,64,1,1111.39,0.058
2,64,2,586.38,0.109
2,64,3,0,0
2,64,4,0,0
2,64,5,0,0
2,128,1,1149.147,0.111
2,128,2,0,0
2,128,3,0,0
2,128,4,0,0
2,128,5,0,0
2,256,1,0,0
2,256,2,0,0
2,256,3,0,0
2,256,4,0,0
2,256,5,0,0
3,1,1,113.643,0.009
3,1,2,110.183,0.009
3,1,3,93.746,0.011
3,1,4,74.443,0.013
3,1,5,58.703,0.017
3,2,1,230.974,0.009
3,2,2,227.556,0.009
3,2,3,212.144,0.009
3,2,4,208.77,0.01
3,2,5,175.108,0.011
3,4,1,443.04,0.009
3,4,2,458.067,0.009
3,4,3,388.666,0.01
3,4,4,315.751,0.013
3,4,5,252.111,0.016
3,8,1,899.433,0.009
3,8,2,694.217,0.012
3,8,3,488.875,0.016
3,8,4,367.874,0.022
3,8,5,305.705,0.026
3,16,1,1385.764,0.012
3,16,2,830.69,0.019
3,16,3,596.814,0.027
3,16,4,433.113,0.037
3,16,5,355.266,0.045
3,32,1,1586.425,0.02
3,32,2,902.006,0.035
3,32,3,620.553,0.052
3,32,4,453.08,0.071
3,32,5,378.815,0.084
3,64,1,1700.662,0.038
3,64,2,940.86,0.068
3,64,3,625.307,0.102
3,64,4,463.333,0.138
3,64,5,400.375,0.16
3,128,1,1784.454,0.072
3,128,2,957.819,0.134
3,128,3,0,0
3,128,4,0,0
3,128,5,0,0
3,256,1,1794.472,0.143
3,256,2,0,0
3,256,3,0,0
3,256,4,0,0
3,256,5,0,0
4,1,1,111.045,0.009
4,1,2,110.819,0.009
4,1,3,105.045,0.01
4,1,4,84.975,0.012
4,1,5,66.387,0.015
4,2,1,229.995,0.009
4,2,2,216.861,0.009
4,2,3,217.5,0.009
4,2,4,218.695,0.009
4,2,5,206.245,0.01
4,4,1,435.824,0.009
4,4,2,432.873,0.009
4,4,3,400.224,0.01
4,4,4,372.788,0.011
4,4,5,304.125,0.013
4,8,1,785.833,0.01
4,8,2,847.472,0.009
4,8,3,603.278,0.013
4,8,4,458.011,0.017
4,8,5,379.817,0.021
4,16,1,1465.362,0.011
4,16,2,969.507,0.017
4,16,3,732.816,0.022
4,16,4,523.531,0.031
4,16,5,442.7,0.036
4,32,1,1907.006,0.017
4,32,2,1089.066,0.029
4,32,3,753.032,0.042
4,32,4,542.145,0.059
4,32,5,453.159,0.071
4,64,1,2036.558,0.031
4,64,2,1127.044,0.057
4,64,3,756.548,0.085
4,64,4,555.226,0.115
4,64,5,449.578,0.142
4,128,1,2109.273,0.061
4,128,2,1141.121,0.112
4,128,3,0,0
4,128,4,0,0
4,128,5,0,0
4,256,1,2126.422,0.12
4,256,2,0,0
4,256,3,0,0
4,256,4,0,0
4,256,5,0,0
7,1,1,115.139,0.009
7,1,2,115.165,0.009
7,1,3,111.213,0.009
7,1,4,107.644,0.009
7,1,5,103.074,0.01
7,2,1,226.808,0.009
7,2,2,226.614,0.009
7,2,3,222.555,0.009
7,2,4,216.501,0.009
7,2,5,210.911,0.009
7,4,1,430.897,0.009
7,4,2,421.886,0.009
7,4,3,419.449,0.01
7,4,4,408.963,0.01
7,4,5,394.366,0.01
7,8,1,823.981,0.01
7,8,2,775.498,0.01
7,8,3,786.864,0.01
7,8,4,703.024,0.011
7,8,5,581.064,0.014
7,16,1,1707.028,0.009
7,16,2,1460.745,0.011
7,16,3,1055.925,0.015
7,16,4,822.188,0.019
7,16,5,694.286,0.023
7,32,1,2703.952,0.012
7,32,2,1656.834,0.019
7,32,3,1222.149,0.026
7,32,4,871.186,0.037
7,32,5,763.04,0.042
7,64,1,2973.848,0.022
7,64,2,1802.472,0.036
7,64,3,1238.153,0.052
7,64,4,911.458,0.07
7,64,5,736.181,0.087
7,128,1,3187.667,0.04
7,128,2,1872.34,0.068
7,128,3,1265.179,0.101
7,128,4,931.725,0.137
7,128,5,755.002,0.17
7,256,1,3273.015,0.078
7,256,2,1879.965,0.136
7,256,3,907.239,0.282
7,256,4,0,0
7,256,5,0,0
