Mig instance,Batch size,Workload Number,Throughput,Latency
1,1,1,219.484,0.005
1,1,2,211.262,0.005
1,1,3,208.549,0.005
1,1,4,181.886,0.005
1,1,5,141.909,0.007
1,2,1,413.875,0.005
1,2,2,374.365,0.005
1,2,3,248.847,0.008
1,2,4,183.741,0.011
1,2,5,141.517,0.014
1,4,1,677.387,0.006
1,4,2,385.576,0.01
1,4,3,253.824,0.016
1,4,4,187.14,0.021
1,4,5,148.235,0.027
1,8,1,738.874,0.011
1,8,2,375.149,0.021
1,8,3,254.571,0.031
1,8,4,189.68,0.042
1,8,5,151.759,0.053
1,16,1,724.014,0.022
1,16,2,375.716,0.043
1,16,3,251.277,0.064
1,16,4,0,0
1,16,5,0,0
1,32,1,745.445,0.043
1,32,2,0,0
1,32,3,0,0
1,32,4,0,0
1,32,5,0,0
1,64,1,0,0
1,64,2,0,0
1,64,3,0,0
1,64,4,0,0
1,64,5,0,0
1,128,1,0,0
1,128,2,0,0
1,128,3,0,0
1,128,4,0,0
1,128,5,0,0
1,256,1,0,0
1,256,2,0,0
1,256,3,0,0
1,256,4,0,0
1,256,5,0,0
2,1,1,216.482,0.005
2,1,2,216.164,0.005
2,1,3,211.948,0.005
2,1,4,205.463,0.005
2,1,5,201.371,0.005
2,2,1,421.708,0.005
2,2,2,413.638,0.005
2,2,3,402.797,0.005
2,2,4,349.984,0.006
2,2,5,280.153,0.007
2,4,1,819.032,0.005
2,4,2,755.928,0.005
2,4,3,500.742,0.008
2,4,4,381.708,0.01
2,4,5,299.662,0.013
2,8,1,1380.58,0.006
2,8,2,747.756,0.011
2,8,3,507.832,0.016
2,8,4,376.343,0.021
2,8,5,299.795,0.027
2,16,1,1416.481,0.011
2,16,2,786.347,0.02
2,16,3,494.647,0.032
2,16,4,381.346,0.042
2,16,5,303.879,0.053
2,32,1,1401.072,0.023
2,32,2,772.293,0.041
2,32,3,485.98,0.066
2,32,4,0,0
2,32,5,0,0
2,64,1,1409.056,0.045
2,64,2,0,0
2,64,3,0,0
2,64,4,0,0
2,64,5,0,0
2,128,1,1423.977,0.09
2,128,2,0,0
2,128,3,0,0
2,128,4,0,0
2,128,5,0,0
2,256,1,0,0
2,256,2,0,0
2,256,3,0,0
2,256,4,0,0
2,256,5,0,0
3,1,1,219.703,0.005
3,1,2,211.215,0.005
3,1,3,208.444,0.005
3,1,4,208.779,0.005
3,1,5,209.793,0.005
3,2,1,421.121,0.005
3,2,2,422.662,0.005
3,2,3,404.844,0.005
3,2,4,404.653,0.005
3,2,5,396.064,0.005
3,4,1,823.687,0.005
3,4,2,804.754,0.005
3,4,3,793.317,0.005
3,4,4,599.545,0.007
3,4,5,502.43,0.008
3,8,1,1573.703,0.005
3,8,2,1225.621,0.007
3,8,3,900.879,0.009
