Mig instance,Batch size,Workload Number,Throughput,Latency
1,1,1,76.475,0.013
1,1,2,54.892,0.018
1,1,3,36.246,0.028
1,1,4,27.19,0.037
1,1,5,20.868,0.048
1,2,1,123.468,0.016
1,2,2,68.496,0.029
1,2,3,44.652,0.045
1,2,4,33.133,0.06
1,2,5,25.944,0.077
1,4,1,143.465,0.028
1,4,2,75.104,0.053
1,4,3,49.741,0.08
1,4,4,37.049,0.108
1,4,5,37.049,0.108
1,8,1,168.202,0.048
1,8,2,88.775,0.09
1,8,3,0,0
1,8,4,0,0
1,8,5,0,0
1,16,1,183.615,0.087
1,16,2,0,0
1,16,3,0,0
1,16,4,0,0
1,16,5,0,0
1,32,1,0,0
1,32,2,0,0
1,32,3,0,0
1,32,4,0,0
1,32,5,0,0
1,64,1,0,0
1,64,2,0,0
1,64,3,0,0
1,64,4,0,0
1,64,5,0,0
1,128,1,0,0
1,128,2,0,0
1,128,3,0,0
1,128,4,0,0
1,128,5,0,0
1,256,1,0,0
1,256,2,0,0
1,256,3,0,0
1,256,4,0,0
1,256,5,0,0
2,1,1,75.508,0.013
2,1,2,75.489,0.013
2,1,3,66.303,0.015
2,1,4,52.023,0.019
2,1,5,40.019,0.025
2,2,1,154.994,0.013
2,2,2,132.466,0.015
2,2,3,90.053,0.022
2,2,4,67.772,0.03
2,2,5,51.963,0.038
2,4,1,266.736,0.015
2,4,2,156.129,0.026
2,4,3,101.535,0.039
2,4,4,75.233,0.053
2,4,5,58.638,0.068
2,8,1,326.579,0.024
2,8,2,174.867,0.046
2,8,3,117.052,0.068
2,8,4,87.172,0.092
2,8,5,69.437,0.115
2,16,1,351.984,0.045
2,16,2,190.879,0.084
2,16,3,124.302,0.129
2,16,4,0,0
2,16,5,0,0
2,32,1,374.151,0.086
2,32,2,0,0
2,32,3,0,0
2,32,4,0,0
2,32,5,0,0
2,64,1,0,0
2,64,2,0,0
2,64,3,0,0
2,64,4,0,0
2,64,5,0,0
2,128,1,0,0
2,128,2,0,0
2,128,3,0,0
2,128,4,0,0
2,128,5,0,0
2,256,1,0,0
2,256,2,0,0
2,256,3,0,0
2,256,4,0,0
2,256,5,0,0
3,1,1,75.733,0.013
3,1,2,76.116,0.013
3,1,3,72.135,0.014
3,1,4,71.607,0.014
3,1,5,59.53,0.017
3,2,1,155.548,0.013
3,2,2,154.298,0.013
3,2,3,131.783,0.015
3,2,4,105.858,0.019
3,2,5,83.424,0.024
3,4,1,307.256,0.013
3,4,2,235.044,0.017
3,4,3,164.067,0.024
3,4,4,124.404,0.032
3,4,5,96.404,0.041
3,8,1,496.496,0.016
3,8,2,298.213,0.027
3,8,3,198.932,0.04
3,8,4,147.131,0.054
3,8,5,115.1,0.07
3,16,1,556.994,0.029
3,16,2,306.359,0.052
3,16,3,206.997,0.077
3,16,4,151.989,0.105
3,16,5,122.027,0.131
3,32,1,608.44,0.053
3,32,2,339.007,0.094
3,32,3,219.43,0.146
3,32,4,0,0
3,32,5,0,0
3,64,1,629.166,0.102
3,64,2,0,0
3,64,3,0,0
3,64,4,0,0
3,64,5,0,0
3,128,1,0,0
3,128,2,0,0
3,128,3,0,0
3,128,4,0,0
3,128,5,0,0
3,256,1,0,0
3,256,2,0,0
3,256,3,0,0
3,256,4,0,0
3,256,5,0,0
4,1,1,76.308,0.013
4,1,2,72.217,0.014
4,1,3,73.095,0.014
