Mig instance,Batch size,Workload Number,Throughput,Latency
1,1,1,123.337,0.008
1,1,2,66.415,0.015
1,1,3,43.59,0.023
1,1,4,32.637,0.031
1,1,5,25.818,0.039
1,2,1,172.249,0.012
1,2,2,89.681,0.022
1,2,3,59.801,0.033
1,2,4,44.729,0.045
1,2,5,35.67,0.056
1,4,1,213.254,0.019
1,4,2,111.026,0.036
1,4,3,73.745,0.054
1,4,4,55.236,0.072
1,4,5,44.123,0.091
1,8,1,239.471,0.033
1,8,2,121.596,0.066
1,8,3,81.137,0.099
1,8,4,60.825,0.132
1,8,5,48.604,0.165
1,16,1,252.778,0.063
1,16,2,128.428,0.125
1,16,3,85.644,0.187
1,16,4,0,0
1,16,5,0,0
1,32,1,261.971,0.122
1,32,2,0,0
1,32,3,0,0
1,32,4,0,0
1,32,5,0,0
1,64,1,0,0
1,64,2,0,0
1,64,3,0,0
1,64,4,0,0
1,64,5,0,0
1,128,1,0,0
1,128,2,0,0
1,128,3,0,0
1,128,4,0,0
1,128,5,0,0
1,256,1,0,0
1,256,2,0,0
1,256,3,0,0
1,256,4,0,0
1,256,5,0,0
2,1,1,242.295,0.004
2,1,2,132.721,0.008
2,1,3,87.839,0.011
2,1,4,65.423,0.015
2,1,5,51.738,0.019
2,2,1,329.743,0.006
2,2,2,178.689,0.011
2,2,3,118.559,0.017
2,2,4,87.701,0.023
2,2,5,70.734,0.028
2,4,1,397.718,0.01
2,4,2,221.276,0.018
2,4,3,146.059,0.027
2,4,4,110.793,0.036
2,4,5,88.274,0.045
2,8,1,459.002,0.017
2,8,2,247.263,0.032
2,8,3,162.915,0.049
2,8,4,122.417,0.065
2,8,5,98.252,0.081
2,16,1,500.589,0.032
2,16,2,253.155,0.063
2,16,3,169.487,0.094
2,16,4,127.462,0.126
2,16,5,103.293,0.155
2,32,1,516.431,0.062
2,32,2,266.392,0.12
2,32,3,174.369,0.184
2,32,4,0,0
2,32,5,0,0
2,64,1,521.221,0.123
2,64,2,0,0
2,64,3,0,0
2,64,4,0,0
2,64,5,0,0
2,128,1,0,0
2,128,2,0,0
2,128,3,0,0
2,128,4,0,0
2,128,5,0,0
2,256,1,0,0
2,256,2,0,0
2,256,3,0,0
2,256,4,0,0
2,256,5,0,0
3,1,1,372.826,0.003
3,1,2,220.812,0.005
3,1,3,149.322,0.007
3,1,4,111.194,0.009
